t,x1,y1,x2,y2,x3,y3
5.94000,-1.000000,1.782000,1.000000,-1.782000,-1.782000,0.500000
5.95000,-1.000000,1.785000,1.000000,-1.785000,-1.785000,0.500000
5.96000,-1.000000,1.788000,1.000000,-1.788000,-1.788000,0.500000
5.97000,-1.000000,1.791000,1.000000,-1.791000,-1.791000,0.500000
5.98000,-1.000000,1.794000,1.000000,-1.794000,-1.794000,0.500000
5.99000,-1.000000,1.797000,1.000000,-1.797000,-1.797000,0.500000
6.00000,-1.000000,1.800000,1.000000,-1.800000,-1.800000,0.500000
6.01000,-1.000000,1.803000,1.000000,-1.803000,-1.803000,0.500000
6.02000,-1.000000,1.806000,1.000000,-1.806000,-1.806000,0.500000
6.03000,-1.000000,1.809000,1.000000,-1.809000,-1.809000,0.500000
6.04000,-1.000000,1.812000,1.000000,-1.812000,-1.812000,0.500000
6.05000,-1.000000,1.815000,1.000000,-1.815000,-1.815000,0.500000
6.06000,-1.000000,1.818000,1.000000,-1.818000,-1.818000,0.500000
6.07000,-1.000000,1.821000,1.000000,-1.821000,-1.821000,0.500000
6.08000,-1.000000,1.824000,1.000000,-1.824000,-1.824000,0.500000
6.09000,-1.000000,1.827000,1.000000,-1.827000,-1.827000,0.500000
6.10000,-1.000000,1.830000,1.000000,-1.830000,-1.830000,0.500000
6.11000,-1.000000,1.833000,1.000000,-1.833000,-1.833000,0.500000
6.12000,-1.000000,1.836000,1.000000,-1.836000,-1.836000,0.500000
6.13000,-1.000000,1.839000,1.000000,-1.839000,-1.839000,0.500000
6.14000,-1.000000,1.842000,1.000000,-1.842000,-1.842000,0.500000
6.15000,-1.000000,1.845000,1.000000,-1.845000,-1.845000,0.500000
6.16000,-1.000000,1.848000,1.000000,-1.848000,-1.848000,0.500000
6.17000,-1.000000,1.851000,1.000000,-1.851000,-1.851000,0.500000
6.18000,-1.000000,1.854000,1.000000,-1.854000,-1.854000,0.500000
6.19000,-1.000000,1.857000,1.000000,-1.857000,-1.857000,0.500000
6.20000,-1.000000,1.860000,1.000000,-1.860000,-1.860000,0.500000
6.21000,-1.000000,1.863000,1.000000,-1.863000,-1.863000,0.500000
6.22000,-1.000000,1.866000,1.000000,-1.866000,-1.866000,0.500000
6.23000,-1.000000,1.869000,1.000000,-1.869000,-1.869000,0.500000
6.24000,-1.000000,1.872000,1.000000,-1.872000,-1.872000,0.500000
6.25000,-1.000000,1.875000,1.000000,-1.875000,-1.875000,0.500000
6.26000,-1.000000,1.878000,1.000000,-1.878000,-1.878000,0.500000
6.27000,-1.000000,1.881000,1.000000,-1.881000,-1.881000,0.500000
6.28000,-1.000000,1.884000,1.000000,-1.884000,-1.884000,0.500000
6.29000,-1.000000,1.887000,1.000000,-1.887000,-1.887000,0.500000
6.30000,-1.000000,1.890000,1.000000,-1.890000,-1.890000,0.500000
6.31000,-1.000000,1.893000,1.000000,-1.893000,-1.893000,0.500000
6.32000,-1.000000,1.896000,1.000000,-1.896000,-1.896000,0.500000
6.33000,-1.000000,1.899000,1.000000,-1.899000,-1.899000,0.500000
6.34000,-1.000000,1.902000,1.000000,-1.902000,-1.902000,0.500000
6.35000,-1.000000,1.905000,1.000000,-1.905000,-1.905000,0.500000
6.36000,-1.000000,1.908000,1.000000,-1.908000,-1.908000,0.500000
6.37000,-1.000000,1.911000,1.000000,-1.911000,-1.911000,0.500000
6.38000,-1.000000,1.914000,1.000000,-1.914000,-1.914000,0.500000
6.39000,-1.000000,1.917000,1.000000,-1.917000,-1.917000,0.500000
6.40000,-1.000000,1.920000,1.000000,-1.920000,-1.920000,0.500000
6.41000,-1.000000,1.923000,1.000000,-1.923000,-1.923000,0.500000
6.42000,-1.000000,1.926000,1.000000,-1.926000,-1.926000,0.500000
6.43000,-1.000000,1.929000,1.000000,-1.929000,-1.929000,0.500000
6.44000,-1.000000,1.932000,1.000000,-1.932000,-1.932000,0.500000
6.45000,-1.000000,1.935000,1.000000,-1.935000,-1.935000,0.500000
6.46000,-1.000000,1.938000,1.000000,-1.938000,-1.938000,0.500000
6.47000,-1.000000,1.941000,1.000000,-1.941000,-1.941000,0.500000
6.48000,-1.000000,1.944000,1.000000,-1.944000,-1.944000,0.500000
6.49000,-1.000000,1.947000,1.000000,-1.947000,-1.947000,0.500000
6.50000,-1.000000,1.950000,1.000000,-1.950000,-1.950000,0.500000
6.51000,-1.000000,1.953000,1.000000,-1.953000,-1.953000,0.500000
6.52000,-1.000000,1.956000,1.000000,-1.956000,-1.956000,0.500000
6.53000,-1.000000,1.959000,1.000000,-1.959000,-1.959000,0.500000
6.54000,-1.000000,1.962000,1.000000,-1.962000,-1.962000,0.500000
6.55000,-1.000000,1.965000,1.000000,-1.965000,-1.965000,0.500000
6.56000,-1.000000,1.968000,1.000000,-1.968000,-1.968000,0.500000
6.57000,-1.000000,1.971000,1.000000,-1.971000,-1.971000,0.500000
6.58000,-1.000000,1.974000,1.000000,-1.974000,-1.974000,0.500000
6.59000,-1.000000,1.977000,1.000000,-1.977000,-1.977000,0.500000
6.60000,-1.000000,1.980000,1.000000,-1.980000,-1.980000,0.500000
6.61000,-1.000000,1.983000,1.000000,-1.983000,-1.983000,0.500000
6.62000,-1.000000,1.986000,1.000000,-1.986000,-1.986000,0.500000
6.63000,-1.000000,1.989000,1.000000,-1.989000,-1.989000,0.500000
6.64000,-1.000000,1.992000,1.000000,-1.992000,-1.992000,0.500000
6.65000,-1.000000,1.995000,1.000000,-1.995000,-1.995000,0.500000
6.66000,-1.000000,1.998000,1.000000,-1.998000,-1.998000,0.500000
6.67000,-1.000000,2.001000,1.000000,-2.001000,-2.001000,0.500000
6.68000,-1.000000,2.004000,1.000000,-2.004000,-2.004000,0.500000
6.69000,-1.000000,2.007000,1.000000,-2.007000,-2.007000,0.500000
6.70000,-1.000000,2.010000,1.000000,-2.010000,-2.010000,0.500000
6.71000,-1.000000,2.013000,1.000000,-2.013000,-2.013000,0.500000
6.72000,-1.000000,2.016000,1.000000,-2.016000,-2.016000,0.500000
6.73000,-1.000000,2.019000,1.000000,-2.019000,-2.019000,0.500000
6.74000,-1.000000,2.022000,1.000000,-2.022000,-2.022000,0.500000
6.75000,-1.000000,2.025000,1.000000,-2.025000,-2.025000,0.500000
